smiles,Mutagenicity_top20_6_brics_mol,group
Clc1ccc(C2C(c3ccccc3)COC(c3ccccc3)C2c2ccccc2)cc1,-1,test
O=c1c2ccc3c4cc(-c5cc6c7ccc8c(=O)c9c([C@@H]%10CO[C@@H]%11[C@H](O)CO[C@H]%10%11)cccc9c(=O)c8c7[nH]c6c6c(=O)c7ccccc7c(=O)c56)c5c(=O)c6ccccc6c(=O)c5c4[nH]c3c2c(=O)c2cccc(-c3cc4c5ccc6c(=O)c7c([C@@H]8CO[C@@H]9[C@H](O)CO[C@H]89)cccc7c(=O)c6c5[nH]c4c4c(=O)c5ccccc5c(=O)c34)c12,-1,test
CC1(C)C(C=C(Br)Br)C1c1ccc(-c2ccc(-c3ccc(C4C(C=C(Br)Br)C4(C)C)cc3)cc2)cc1,-1,test
CCC(C)c1ccc(C(=O)c2ccc(C(C)CC)cc2)cc1,-1,test
CCCCCCCCCCCCCCCCCC1=NCCN1c1cc(-c2cc(C3C(N4CCN=C4CCCCCCCCCCCCCCCCC)C4(Cl)C(Cl)=C(Cl)C3(Cl)C4(Cl)Cl)ncn2)ncn1,-1,test
Cc1cc(Cl)c(-c2ccccc2)c(Cl)c1,-1,test
O=C(O)c1ccc(S(=O)(=O)c2ccc(-c3ccc(S(=O)(=O)c4ccc(-c5ccc(S(=O)(=O)c6ccc(OS(=O)(=O)O)cc6)cc5)cc4)cc3)cc2)cc1,-1,test
CCc1ccccc1,-1,test
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)c1ccc(C(=O)O)cc1,-1,test
OCC1OC(CO)C(O)C(O)C1O,-1,test
O=C1OC2C(O)COC2(O)C1(O)c1ccc(-c2ccc(C3(O)C(=O)OC4C(O)COC43O)cc2)cc1,-1,test
CC12CCC(c3ccc(Br)cc3)CC1=CCC1C2CCC2(C)C(c3ccccc3)CCC12,-1,test
O=C(O)c1ccc(-c2cccnc2)cc1,-1,test
C=CCC1C(c2ccccc2)COC(c2ccccc2)C1c1ccccc1,-1,test
Cc1ccc(-c2ccccc2)cc1,-1,test
O=C1c2ccccc2C(=O)C1c1ccc(-c2ccc(C3C(=O)c4ccccc4C3=O)cc2)cc1,-1,test
COc1ccc(-c2cccc(-c3cccc(-c4ccc(Cl)cc4)c3)c2)cc1,-1,test
CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12,-1,test
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)CBr,-1,test
OC[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)c1ccc2c([C@H](O)[C@H](O)[C@H](O)[C@H](O)CO)c3ccoc3nc2c1-c1ccccc1,-1,test
Cc1ccc(-c2ccc(I)cc2)c(O)c1C1OC(c2ccc(I)cc2)C(O)C(O)C1O,-1,test
O=C(O)Cc1ccc(CC(=O)O)o1,-1,test
CC1=CC2OC3C(O)C(c4ccc(C56C(C=C(C)C(=O)C5O)OC5C(O)C(c7ccc(Cl)cc7Cl)C6(C)C56CO6)cc4)C(C)(C34CO4)C2(CBr)C(O)C1=O,-1,test
O=c1c2ccc3c4cc(CCO)c5c(=O)c6ccccc6c(=O)c5c4[nH]c3c2c(=O)c2cccc(-c3cc4c5ccc6c(=O)c7c(-c8cc9c%10ccc%11c(=O)c%12c(CCO)cccc%12c(=O)c%11c%10[nH]c9c9c(=O)c%10ccccc%10c(=O)c89)cccc7c(=O)c6c5[nH]c4c4c(=O)c5ccccc5c(=O)c34)c12,-1,test
CCc1cc(-c2cc(-c3ccc(S(N)(=O)=O)cc3)ncn2)ncn1,-1,test
Cc1cc2c(cc1-c1ccccc1-c1ccccc1-c1ccccc1-c1cc3c(cc1C)C(C)(C)[C@@H](C)C3(C)C)C(C)(C)[C@H](C)C2(C)C,-1,test
COC(=O)c1ccc(N)cc1-c1ccc(N)cc1CO,-1,test
Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O,-1,test
Fc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1,-1,test
CCCCCCCCCCCCCCCCc1cc2c(cc1CCCCCCCCCCCCCCCC)C1CC(CC3NCCc4cc(CCCCCCCCCCCCCCCC)c(C(C)(C)C)cc43)=C(CC)CN1CC2,-1,test
O=C(O)C1OC(O)C(C2OC(O)C(C3OC(O)C(c4ccccc4)C(O)C3O)C(O)C2O)C(O)C1O,-1,test
Nc1nc(O)nc2c1ncn2-c1cn(C2CC(O)C(n3cnc4c(N)nc(O)nc43)O2)c(=O)[nH]c1=O,-1,test
CN(c1ccc(Cl)cc1)c1ccc(-c2ccc(F)cc2)cc1,-1,test
CC1CN(C)C(C)C(O)C(C)(O)C(c2ccccc2)OC(=O)C(C)C(c2ccccc2)C(C)C(c2cccc(Cl)c2)C(C)(O)C1,-1,test
O=c1c2ccc3c4cc(CCO)c5c(=O)c6ccccc6c(=O)c5c4[nH]c3c2c(=O)c2cccc(-c3cccc4c(=O)c5c(ccc6c7cc(-c8cc9c%10ccc%11c(=O)c%12c(-c%13ccccc%13)cccc%12c(=O)c%11c%10[nH]c9c9c(=O)c%10ccccc%10c(=O)c89)c8c(=O)c9ccccc9c(=O)c8c7[nH]c65)c(=O)c34)c12,-1,test
C=CCC1C(c2ccccc2)OCC(c2ccccc2)C1c1ccccc1,-1,test
CC1(C)C(C=C(Br)Br)C1c1ccc(OS(=O)(=O)O)cc1,-1,test
C[C@]1(n2cnc3c2ncn2ccnc32)O[C@]2(O)[C@H]3CCCN3C(=O)[C@@H](C(=O)O)N2C1=O,-1,test
COc1ccc(N=Nc2ccc(-c3ccc(N=Nc4ccc(O[N+](=O)[O-])cc4)cc3)cc2)cc1,-1,test
N=c1ccn2c(n1)OC1C(O)C(c3ccc(C4OC5C(Oc6nc(=N)ccn65)C4O)cc3)OC12,-1,test
O=c1[nH]c(=O)n(-c2ccccc2-n2cc(/C=C/Br)c(=O)[nH]c2=O)cc1/C=C/Br,-1,test
CC(N)(Cc1ccc([C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](CC(C)(N)C(=O)O)N3C2=O)cc1)C(=O)O,-1,test
COc1ccc(N=Nc2ccc(O[N+](=O)[O-])cc2)cc1,-1,test
Cc1cc(-c2cc(O)c3c(-c4cc(C)cc5c(O)c(-c6ccccc6)cc(O)c45)cc(C)cc3c2O)c2c(O)cc(-c3ccccc3)c(O)c2c1,-1,test
Cc1cc(-c2ccc(C#N)cc2)c(O)c(-c2cc(C)cc(-c3ccc(C#N)cc3)c2O)c1,-1,test
O=C(O)c1ccc2c(-c3ccc4c(C(=O)O)cc(=O)oc4c3)cc(=O)oc2c1,-1,test
O=C(O)c1ccc([C@@H]2O[C@H](c3ccc(C(=O)O)cc3)[C@@H](O)[C@H](O)[C@H]2O)cc1,-1,test
CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3ccc(Br)cc3)CCC12,-1,test
COc1[nH]cnc2nc(CC(=O)O)cc1-2,-1,test
OCc1ccc(N=Nc2ccc(-c3ccc(N=Nc4ccc(-c5ccc(N=Nc6ccc(CO)nc6)cc5)nc4)cc3)cc2)cn1,-1,test
Oc1cc2c(cc1O)C(Cc1ccc(N=Nc3ccc(-c4ccccc4C4=CCCC4)cc3)cc1)NCC2,-1,test
CC1Sc2c(C3OC3(C)C)c(=O)c3cc(F)c(C4OC4(C)C)cc3n21,-1,test
O=S(=O)(O)O[C@H]1O[C@@H](c2ccc([C@@H]3O[C@H](OS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,-1,test
C[C@@]12CCc3occc3C1CC[C@@]13CC(CCC12)C(O)([C@@H]1O[C@H](c2cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ncn2)[C@@H](O)[C@H](O)[C@H]1O)C3,-1,test
CCc1ccc(-c2ccc(O)cc2-c2ccc(CC)cc2)cc1,-1,test
CCCCCCCCc1cc2ccc(-c3ccc4cc(-n5cc(O)c(N)nc5=O)c(=O)oc4c3)cc2oc1=O,-1,test
O=S(=O)(O)Oc1cc2c(-c3cc4c(OS(=O)(=O)O)[nH]cnc-4n3)[nH]cnc-2n1,-1,test
CCCCCCc1cc(-c2cccc(S(=O)(=O)O)c2)cc(N2C(=O)CCC2=O)c1O,-1,test
O=C(O)Cc1ccc(-c2ccc(-c3ccc(F)cc3)cc2)cc1,-1,test
CCC1=C(CC2NCCc3cc(-c4ccccc4)c(-c4ccccc4)cc32)CC2c3cc(-c4ccc(F)cc4)c(-c4ccccc4)cc3CCN2C1,-1,test
N#Cc1ccc(-c2ccc(S(=O)(=O)c3ccc(-c4ccc(S(=O)(=O)c5ccc(-c6ccc(S(=O)(=O)c7ccc(-c8ccc(C#N)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-1,test
CN(C)c1ccc(S(N)(=O)=O)cc1,-1,test
Cc1cc(O)c(-c2cc(-c3cc(-n4cc(C=O)c(=O)[nH]c4=O)ncn3)ncn2)c(=O)o1,-1,test
Cc1cc(CO)cc(OS(=O)(=O)O)c1N,-1,test
O=Nc1ccc([C@]2(O)OC[C@@H](O)[C@@H](O)[C@H]2O)cc1Cl,-1,test
CCCCCCCCCCCCc1ccc(-c2ccc(C3OC(CCCCCCCCCCCC)C(O)C(O)C3O)cc2)cc1,-1,test
CCC(C)(C)C1(O)C(=O)OC2C(O)COC21O,-1,test
CC1(C)CCCC2(C)C1CCC1(C)C2CC(c2cc([C@@H]3c4cc5c(cc4[C@@H](Oc4ccncc4)[C@H]4COC(=O)[C@@H]34)OCO5)cc(-c3ccncc3)c2O)C2(C)C(C=O)C(C=O)=CCC12,-1,test
CC1=CC2OC3C(O)C(c4ccc(CBr)cc4)C(C)(C34CO4)C2(CBr)C(O)C1=O,-1,test
CNC1C(C)C(c2ccccc2)C(C)C(=O)OC(c2ccccc2)C(C)(O)C(O)C(C)N(C)CC(C)CC1(C)O,-1,test
O[C@@H]1[C@@H](c2cc3ccc(C4=NCCN4)cc3[nH]2)O[C@@H](c2cc3ccc(C4=NCCN4)cc3[nH]2)[C@H](c2cc3ccc(C4=NCCN4)cc3[nH]2)[C@H]1O,-1,test
Brc1ccc(-c2ccc(Br)cc2)cc1,-1,test
Nc1nc(O)nc2c1ncn2CCO,-1,test
Cc1cc(-c2cc(C)cc(-n3cc(F)c(=O)[nH]c3=O)c2O)c(O)c(-n2cc(F)c(=O)[nH]c2=O)c1,-1,test
Cc1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,-1,test
O=C(O)c1ccc(-c2ccccc2)cc1,-1,test
Clc1ccc(-c2ccc(-c3ccc(-c4ccc(Cl)cc4)cc3)cc2)cc1,-1,test
CCC#C[C@@H](C)c1ccc(N)cc1C1CC(O)C(c2ccc(N)cc2[C@H](C)C#CCC)O1,-1,test
Cc1cc2c(cc1-c1ccccc1)C(C)(C)C(C)C2(C)C,-1,test
O=c1oc2cc(-c3ccc4cc(-c5ccc6cc(O[N+](=O)[O-])c(=O)oc6c5)c(=O)oc4c3)ccc2cc1O[N+](=O)[O-],-1,test
COC1OC(OC)C(O)C1=O,-1,test
CCC#C[C@@H](C)c1c(C)cc2c(O)ccc(O)c2c1CCCC,-1,test
Cc1cc2c(cc1-c1ccc(-c3ccc(-c4cc5c(cc4C)C(C)(C)[C@@H](C)C5(C)C)cc3)cc1)C(C)(C)[C@H](C)C2(C)C,-1,test
O=S(=O)(O)c1ccc(-c2ccccc2)c(S(=O)(=O)O)c1,-1,test
CC1=CC2OC3C(O)C(c4ccc(Cl)cc4Cl)C(C)(C34CO4)C2(n2nc(C)cc2C)C(O)C1=O,-1,test
Cc1cc(-c2cc(C)c(N)c(C(C)(C)C)c2)cc(-c2cc(C)c(N)c(C(C)(C)C)c2)c1N,-1,test
CN(C)CCCl,-1,test
Cc1cc(Cl)c(-c2ccc(F)cc2)c(Cl)c1,-1,test
OC1COC(O)(c2ccc(-c3ccc(C4(O)OCC(O)C(O)C4O)cc3)cc2)C(O)C1O,-1,test
Cc1cccc(-c2ccc3cc(-c4ccc5cc(-c6cc7ccc(-c8cccc(C)c8C)cc7oc6=O)c(=O)oc5c4)c(=O)oc3c2)c1C,-1,test
CCCCCCCCCCCCCCCCCC1=NCCN1c1cc(C(=O)c2cc(N3CCN=C3CCCCCCCCCCCCCCCCC)ncn2)ncn1,-1,test
CC(C)(C)C1=CC(C)(c2cc(-c3ccccc3-c3cc(C4(C)C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C4)ncn3)ncn2)C=C(C(C)(C)C)C1=O,-1,test
CCC(C)(C)C1OC(OS(=O)(=O)O)C(=O)C1O,-1,test
Nc1ccc(C2OC(O)C(c3ccccc3)C(O)C2O)c(-c2ccccc2)c1,-1,test
O=S(=O)(O)c1ccc(-c2ccccc2-c2ccccc2)c(S(=O)(=O)O)c1,-1,test
O=c1c2ccc3c4cc(-c5cc6c7ccc8c(=O)c9c(-c%10cc%11c%12ccc%13c(=O)c%14c([C@@H]%15CO[C@@H]%16[C@H](O)CO[C@H]%15%16)cccc%14c(=O)c%13c%12[nH]c%11c%11c(=O)c%12ccccc%12c(=O)c%10%11)cccc9c(=O)c8c7[nH]c6c6c(=O)c7ccccc7c(=O)c56)c5c(=O)c6ccccc6c(=O)c5c4[nH]c3c2c(=O)c2cccc(CCO)c12,-1,test
Nc1ccc(-n2ccnc2)c(-n2ccnc2)c1,-1,test
C=CCC12C(=O)C(=O)C(C)CC1OC1C(O)C(c3cccc4ccccc34)C2(C)C12CO2,-1,test
CCCCCCCCCCCCC1OC(c2ccc(C3OC(c4ccc(S(=O)(=O)Cl)cc4)C(O)C(O)C3O)cc2)C(O)C(O)C1O,-1,test
N#Cc1ccc(-c2ccc(S(=O)(=O)c3ccc(-c4ccc(S(=O)(=O)c5ccc(-c6ccc(S(=O)(=O)c7ccc(C(=O)O)cc7)cc6)cc5)cc4)cc3)cc2)cc1,-1,test
CSc1ccc(SC)cc1,-1,test
Cc1c(CC(=O)O)c(=O)n(CC(=O)O)n1C,-1,test
C#C[C@]1(c2ccc3cc(-c4ccc5cc([C@@]6(C#C)CC[C@H]7[C@@H]8CCC9=CC(=O)CC[C@@H]9[C@H]8CC[C@@]76C)c(=O)oc5c4)c(=O)oc3c2)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,-1,test
Cc1cc(-c2ccccc2)c2c(O)cc(-c3cc(C)cc4c(O)c(-c5ccccc5)cc(O)c34)c(O)c2c1,-1,test
COc1ncn(C)c1-c1ncn(C)c1OC,-1,test
CNc1ccc(-c2ccc(-c3ccc(NC)o3)o2)o1,-1,test
Cc1cc(-n2cc(/C=C/Br)c(=O)[nH]c2=O)c2c(O)cc(-n3cc(/C=C/Br)c(=O)[nH]c3=O)c(O)c2c1,-1,test
c1cc(-c2ccc(-c3ccc(-c4ccc(C5=NCCN5)cc4)cc3)cc2)ccc1C1=NCCN1,-1,test
Cc1ccc(-c2ccc(C(=O)O)cc2)cc1,-1,test
Clc1ccc(-c2ccc(-c3ccc(Cl)cc3Cl)cc2)c(Cl)c1,-1,test
CN(c1ccc(C2=NCCN2)cc1)c1ccccc1-c1ccccc1-c1ccc(C2=NCCN2)cc1,-1,test
Oc1ccc(-c2ccc(Br)cc2)cc1,-1,test
CC(O)Cc1ccc(-c2ccccc2)cc1,-1,test
CC(C(=O)O)c1ccc(F)cc1,-1,test
[CH2-][N+](C)(Cl)C1C(O)C(CCC(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1,test
O=S(=O)(O)c1cccc(-c2ccc(-c3cccc(S(=O)(=O)O)c3)cc2)c1,-1,test
Cc1cc(CO)c(O)c(-c2cc(C)cc(-c3cc(C)cc(CO)c3O)c2O)c1,-1,test
CC1(C)Cc2cccc(-c3ccc(Cl)cc3)c2O1,-1,test
CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(C)c(-c4c(C)ccc(C(=O)O)c4O)c3O)CC21C,-1,test
N#Cc1ccc(C2COC3C(O)COC23)cc1,-1,test
Cc1cc(O)c(-c2cc(-c3cc(-c4cc(-n5cc(C=O)c(=O)[nH]c5=O)ncn4)ncn3)ncn2)c(=O)o1,-1,test
C=CCC1C(c2ccccc2)COC(c2ccccc2)C1CC=C,-1,test
CCCCCCCCc1ccc2cc(-c3cc4ccc(-c5ccc6cc(-n7cc(O)c(N)nc7=O)c(=O)oc6c5)cc4oc3=O)c(=O)oc2c1,-1,test
CCc1c2n(c3cc(-c4cc5c(cc4F)c(=O)c(-c4ccccc4)c4n5C(C)S4)c(F)cc3c1=O)C(C)S2,-1,test
CC(C)(C)c1cccc(-c2cccc(C(C)(C)C)c2)c1,-1,test
CC(C)(C)c1ccc(C(C)(C)C)cc1,-1,test
CCCCCCc1cc(-c2cccc(S(=O)(=O)O)c2)c(O)c(N2C(=O)CCC2=O)c1,-1,test
O=C(O)Cc1ccc(-c2ccc(-c3ccc(O)cc3)o2)o1,-1,test
FC(F)(F)c1cc(Cl)nc(-c2nc(Cl)cc(N3CCC(C(F)(F)F)CC3)n2)n1,-1,test
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,-1,test
O=c1[nH]c(=O)n(-c2cn(-c3ccc(Br)cc3)c(=O)[nH]c2=O)cc1-c1ccccc1,-1,test
O=C(O)c1ccc([C@H]2O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]2O)cc1,-1,test
CCn1cc(-c2cn(C3CCN4CCCC34)c(=O)nc2N)c(N)nc1=O,-1,test
O=Nc1ccc(-c2ccc(-c3ccc(-c4ccc([C@]5(O)OC[C@@H](O)[C@@H](O)[C@H]5O)cc4)cc3)cc2)cc1Cl,-1,test
Clc1ccc(-c2cc(Cl)nc(-c3ccc(Cl)cc3Cl)n2)c(Cl)c1,-1,test
c1ccc(-c2cc(-c3cc(-n4cnc5c4ncn4ccnc54)ncn3)ncn2)cc1,-1,test
CCCCCCOP(=O)(NC(C)CC)Oc1cccc2c(=O)c3c(ccc4c5cc(OC)c6c(=O)c7ccccc7c(=O)c6c5[nH]c43)c(=O)c12,-1,test
CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(C)c(-c4ccc(C)c(C(=O)O)c4O)c3O)CC21C,-1,test
OCC(O)c1ccccc1-c1ccccc1-c1ccc2c(c1)OCO2,-1,test
Cc1cc(-c2cc(C)cc(-n3cc(F)c(=O)[nH]c3=O)c2O)c(O)c(C2C3OC3C3=CC(=O)C4(CC3(C)C2C)OC4(C)C=O)c1,-1,test
NC(CC(=O)C1OC(O)C(C2OC(O)C(C3OC(O)C(c4ccccc4)C(O)C3O)C(O)C2O)C(O)C1O)C(=O)O,-1,test
CCN1CCN(C)CC1,-1,test
C=C[C@H]1CN2CC[C@H]1C[C@H]2n1cc([C@H](C)C#CCC)c(N)nc1=O,-1,test
C#C[C@]1(c2ccc(Br)cc2)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,-1,test
C=C[C@H]1CN2CC[C@H]1C[C@H]2c1cn(-c2cn([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c(=O)nc2N)c(=O)nc1N,-1,test
CN1C[C@H](c2ncn(C)c2-c2c(-c3c(-c4ccccc4)ncn3C)ncn2C)C=C2c3cccc4[nH]cc(c34)C[C@@H]21,-1,test
Nc1nc(=O)n(-c2ccc(-c3cccnc3)cc2)cc1I,-1,test
C=CC1CN2CCC1CC2c1cccc(-c2cccc(C3CC4CCN3CC4C=C)c2)c1,-1,test
C=C[C@H]1CN2CC[C@H]1C[C@H]2c1cn([C@@H]2C[C@@H]3CCN2C[C@@H]3C=C)c(=O)nc1N,-1,test
Sc1ncnc2c1ncn2-c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,-1,test
CC1=CC2OC3CC(c4ccc(OCN5C=CN(C)C5/C=N/O)cc4)C(C)(C2(C)CC1=O)C31CO1,-1,test
CCCCCCCCS(=O)[C@H](C)Cc1ccc(O)cc1-c1ccc(C)cc1,-1,test
