smiles,hERG_top20_6_brics_mol,group
CN1CCN(C(=O)c2cc(-c3ccnc4c3CCC(=O)N4)cc(S(=O)(=O)c3cnc(-c4ccnc5c4CCC(=O)N5)s3)c2)CC1,-1,test
N#Cc1cc(C[C@]2(O)Cn3c(=O)ccc4ncc(F)c2c43)c2oc(N3CCN(c4cc(C#N)cc5nc(C[C@]6(O)Cn7c(=O)ccc8ncc(F)c6c87)oc45)C3=O)nc2c1,-1,test
OCC1CN(C2CN([C@@H]3COC[C@@H]3n3cnnn3)C2)C1,-1,test
CC1=NC(C)(c2nc3ccc(Br)cc3cc2-c2ccc3nnc(-c4cc5cc(Br)ccc5nc4N(C)C)n3n2)N=C1N,-1,test
Cn1ccc(N2CCN(c3nc4c(Cl)cc(F)cc4c(=O)n3C(CO)CO)CC2)n1,-1,test
CC(=O)N1CCCC(N2CCN(C3CCCN(C(C)=O)C3)C(=O)C2)C1,-1,test
O=C(O)c1ncc2ccc(Nc3ccc4cnc(C(=O)O)nn34)n2n1,-1,test
Cc1nc2cnccc2c(=O)n1[C@@H](O)CNCOC[C@H](O)n1c(C)nc2cnccc2c1=O,-1,test
O=C(O)c1cc(NCCO)nc(C(=O)O)c1,-1,test
CC1(O)CCN(C(=O)N2Cc3cccnc3OC[C@@H]2[C@]2(O)CC[C@H](C(N)=O)CC2)C1,-1,test
Cc1nccn1-c1cnc2ccc(=O)n(-c3cscn3)c2c1,-1,test
Nc1ccc(N2C[C@H](N)[C@H](CC(=O)N3CCOCC3)C2)nc1,-1,test
Cc1ccc([C@@H]2CC[C@@H](C(=O)N3CCN(C)CC3)CC2(C)C)cn1,-1,test
Cc1ncccc1C(=O)N(C)C,-1,test
C[C@H]1CN(c2cn([C@H]3C[C@H]4CSC(N)=N[C@@]4(N4C[C@H](C)N[C@H](C)C4)CO3)nn2)C[C@@H](C)N1,-1,test
N#Cc1cc(-c2cc(C#N)cc3nc(N4CCCCCC4)oc23)c2oc(-c3nnc(N4CCCCCC4)o3)nc2c1,-1,test
Cc1nn(C2CCN(c3ccn4ncc(-n5cnnn5)c4n3)CC2)c(C)c1-n1cnnn1,-1,test
Nc1nc2c(-c3cc[nH]n3)cccc2c2nc(C(=O)O)nn12,-1,test
Cn1nc(-n2nnnc2-c2nnnn2-c2nc3cc(C#N)cc(C(=O)O)c3o2)ccc1=O,-1,test
CNC(=O)c1nc(NC)cc(NC)n1,-1,test
CC1=NC(c2ccc(S(N)(=O)=O)cc2)(n2ncc3c(C(=O)O)ncnc32)N=C1N,-1,test
CC(C)[C@@H]1c2nc(-c3ccc(=O)[nH]c3)c([C@@H]3COc4nc([N+](=O)[O-])cn4C3)n2CCN1c1ccc(=O)[nH]c1,-1,test
O=C(O)CCc1cc(CCC(=O)O)c2cc(N3CCNC3=O)c(N3CCNC3=O)cc2n1,-1,test
CN(C)c1nnc2n1CCN(c1nnc3n1CCN(c1nn(C)c4c(=O)nc([C@H]5COCC[C@@H]5C#N)[nH]c14)C3)C2,-1,test
O=[N+]([O-])c1cn2c(n1)OC[C@@H](N1CCN[C@@H](c3nc4ncccc4s3)C1)C2,-1,test
CC(C)N1CCn2c(nc(C(N)=O)c2N2CCN(CCO)CC2)C1,-1,test
CS(=O)(=O)N(C(=O)c1ccccc1N)S(C)(=O)=O,-1,test
CC(C)c1cnc(-c2ncc(C(C)C)cn2)nc1,-1,test
CN(C)c1c(N2CCC[C@@H](N)C2)nc2n1CCN(c1nn(C)c3c(=O)[nH]c(C(=O)O)nc13)C2,-1,test
CN(C)C(=O)c1nc2ccc(Br)cc2cc1N(C)C,-1,test
c1nc(-n2cnnn2)sc1-c1ncc(-n2cnnn2)s1,-1,test
O=C(O)c1nc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2nc1-c1cc2cc(Br)ccc2nc1C(=O)O,-1,test
Cc1cc(N2CCN(C(=O)c3cc(O)ncn3)CC2)nn1-c1cc(O)ncn1,-1,test
C[S+]([O-])Cn1nc([C@]2(C)CC[C@@H](S(C)(=O)=O)CC2)c([C@]2(C)CC[C@@H](S(C)(=O)=O)CC2)c1[C@]1(C)CC[C@@H](S(C)(=O)=O)CC1,-1,test
CS(=O)(=O)NN1C[C@H](C(N)=O)N([C@H]2CC[C@@](O)(C(=O)O)CC2)C1=O,-1,test
CN=[S+](C)([O-])c1ccc(C2CCN(c3nnc(C)c4c(C)n(-c5nnc(C)c6c(C)n(-c7ccc([S+](C)([O-])=NC)cc7)nc56)nc34)CC2)cc1,-1,test
CN(C)CC(=O)N1CCN(C(=O)CN(C)C)CC1,-1,test
O=[N+]([O-])c1cn2c(n1)OC[C@@H](CO)C2,-1,test
Fc1cnc(-n2ccc(Nc3ccn(-c4ncc(F)cn4)c3)c2)nc1,-1,test
Cc1cc(N2CCC[C@H]2C)nn1-c1nncc2cc(N3CCC[C@H]3C)ccc12,-1,test
CN(C)c1cc(S(=O)(=O)NC2(O)COC2)c(F)cc1Cl,-1,test
CC(C)(O)CN/C(=N\O)c1nonc1C(=O)N/C(=N\O)c1nonc1CNP(=O)(c1ccccc1)c1ccccc1,-1,test
CN1CCC(N2CCN(C3CCN(C)CC3)CC2)CC1,-1,test
O=C1NC(=O)C(c2cccnc2)(c2ccc3nc(-c4ccc5nc(CO)oc5c4)oc3c2)N1,-1,test
Nc1c(C(=O)N2CCOCC2)c(-c2ccccn2)nc2c(-c3ccccn3)cnn12,-1,test
Cc1ncc(N2C(=O)N(NS(C)(=O)=O)CC2N2C(=O)N(NS(C)(=O)=O)CC2N2CCOCC2)cn1,-1,test
Cc1nc2cnccc2c(=O)n1[C@@H](O)CNC[C@H](O)n1c(C)nc2cnccc2c1=O,-1,test
C[C@]12CC[C@@H](O)C[C@H]1C[C@@H](N1c3cccc4c3N(CCC4)S1(=O)=O)[C@@H]2c1ccc2ncc(=O)n([C@@H]3C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3N3c4cccc5c4N(CCC5)S3(=O)=O)c2c1,-1,test
O=[N+]([O-])c1cn2c(n1)OC[C@@H]([C@H]1CN(c3nc4ncccc4s3)CCN1)C2,-1,test
N#Cc1cc(C(N)=O)c2oc(-c3cc(C#N)cc4nc(-c5cc(C#N)cc6nc(C(N)=O)oc56)oc34)nc2c1,-1,test
O=c1nc(N2CCS(=O)(=O)CC2)sc2c([N+](=O)[O-])cc(N3CCN(c4cncs4)CC3)cc12,-1,test
Cc1cc(N2CCC(C(=O)O)(C(=O)O)CC2)c(C(=O)O)c(=O)[nH]1,-1,test
Fc1cnc(-n2cnnn2)nc1,-1,test
O=C(O)c1cc(-n2cnnn2)cc(-n2ncc3c(-n4cnnn4)ncnc32)n1,-1,test
Cc1nc2cccc(-c3cccc4nc(C)n(-c5cccc6nc(C)n(CCO)c(=O)c56)c(=O)c34)c2c(=O)n1CCO,-1,test
O=C(O)C1CCN(c2nnc(-c3nnc(-c4nnn[nH]4)o3)o2)CC1,-1,test
CS(=O)(=O)NN1C[C@@H](C[C@]2(O)Cn3c(=O)c(F)cc4ncc(F)c2c43)N([C@@H]2COc3cc4c(cc3O2)OC[C@H]4CC(=O)O)C1=O,-1,test
O=C(O)c1nc(CO)cs1,-1,test
CN(CCCCCC(=O)O)CC(=O)O,-1,test
O=C(O)c1ccc2c(C(=O)O)nncc2c1,-1,test
O=c1ccc2nc(Cl)c(F)c3c2n1C[C@@]3(O)Cc1ccc2cc(Nc3cc4cc(Br)ccc4nc3C[C@]3(O)Cn4c(=O)ccc5nc(Cl)c(F)c3c54)ccc2c1,-1,test
CN(C)c1nc2c(N3CCn4c(nc(CCO)c4N(C)C)C3)nn(C)c2c(=O)[nH]1,-1,test
Cc1ncccc1-c1c(C#N)c2c(c(=O)n(-c3cccnc3C)c(=O)n2C)n1-c1cccnc1C,-1,test
O=C(O)Cc1cc(C(=O)N2CCOCC2)cc(N2CCOCC2)n1,-1,test
O=c1cc(-c2nnc(-c3nnc(-c4cc(Br)c(O)c(Br)c4)o3)o2)sc2c([N+](=O)[O-])cc(-c3cc(Br)c(O)c(Br)c3)cc12,-1,test
CN(C)C(=O)CN1CCOCC1,-1,test
Cn1c(=O)n(CO)c2c3cc(-c4ccc5ncc6c(c5c4)n(CCO)c(=O)n6C)ccc3ncc21,-1,test
CC1CN(c2cnc3ccc(N4C(=O)NC(C)(c5ccc6ncc(N7CC(C)OC(C)C7)n6n5)C4=O)nn23)CC(C)O1,-1,test
OCc1cn2cc(-c3ccc4nc(-c5ccc6nc(CO)cn6c5)cn4c3)ccc2n1,-1,test
Cc1nnc(-c2nc(N)n[nH]2)n1CO,-1,test
N[C@H]1CN(C(=O)c2ccc(-c3ccc(N4C[C@H](N)[C@@H](O)[C@H](N)C4)c(F)c3)cc2F)C[C@@H](N)[C@@H]1O,-1,test
Cc1ccc(S(=O)(=O)N2CCN(C3CCN(C)CC3)CC2)cc1,-1,test
Cc1nnc(CC(=O)N2CCC[C@@H](N)C2)n1CC(=O)N1CCCCC1,-1,test
CN1CCN(C(=O)C[C@H]2CCN([C@@H]3C[C@H]4CCC[C@@]4(N4CCN(C)CC4)C3)C2=O)CC1,-1,test
Cn1nc(C2(C)NC(=O)N(C3(C)NC(=O)N([C@H]4OC[C@H]4N)C3=O)C2=O)nc1[C@H]1OC[C@H]1N,-1,test
Cn1ccc(C(CO)CO)n1,-1,test
CS(=O)(=O)N1CCN(C2=Nn3c(nnc3[C@H]3COCC[C@H]3N3CCN(C4=Nn5c(nnc5-c5cccc6[nH]ncc56)CC4)CC3)CC2)CC1,-1,test
Nc1nnc(N2CCC(N3CCN(C4CCN(c5nnc(N)nc5N)C4)C(=O)C3)C2)c(N)n1,-1,test
CS(=O)(=O)Cc1nc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2nc1C(=O)O,-1,test
Cc1ncc(Nc2nc3ccc(N4CCN(c5cnc(C)nc5)CC4)cn3c2C)cn1,-1,test
Cc1n[nH]c(=O)cc1-c1c([C@@]2(C)NC(=O)NC2=O)c(-c2ccc(S(N)(=O)=O)cc2)nn1-c1ccc(S(N)(=O)=O)cc1,-1,test
NC(=O)c1cc2cc(Br)ccc2nc1-c1cc2cc(Br)ccc2nc1C(N)=O,-1,test
O=S(=O)(Cc1nnc(-c2nnc(OS(=O)(=O)c3cccc4cnccc34)o2)o1)c1ccccc1,-1,test
N#Cc1cnn2c(N3CCCCCC3)cc(-c3cc(N4CCCCCC4)n4ncc(C#N)c4n3)nc12,-1,test
Cn1nnc(-c2n[nH]c3nc(-c4n[nH]c5nc(-c6n[nH]c7nc(-c8nnn(C)n8)n(C)c(=O)c67)n(C)c(=O)c45)n(C)c(=O)c23)n1,-1,test
CC(=O)NC(=O)C1CCN(C(C)=O)CC1,-1,test
Cc1ccc(C(O)c2ccccc2N)cn1,-1,test
CN1CCC(C(=O)N2CCN(C(=O)C3CCN(C)CC3)CC2)CC1,-1,test
CC(=O)N1CCCC(N2CCN(C(C)=O)C(=O)C2)C1,-1,test
O=C(N1CCOCC1)N1CCN(C(=O)N2CCOCC2)CC1,-1,test
N#Cc1cnn2c(-c3cc(-c4cc(-c5nc(N)n[nH]5)n5ncc(C#N)c5n4)n4ncc(C#N)c4n3)cc(-c3nc(N)n[nH]3)nc12,-1,test
Cn1cnc(-c2ncn(C)c2N2CCCCCC2)c1-c1ncn(C)c1N1CCCCCC1,-1,test
CC(=O)c1cc(C(C)=O)c(CC(=O)O)c(-n2cnnn2)c1,-1,test
CC1=NC(c2ccc(S(N)(=O)=O)cc2)(c2ccc(S(N)(=O)=O)cc2)N=C1N,-1,test
C[C@@H]1CCCN1C(=O)Nc1nnc(N2CCC[C@H]2C)o1,-1,test
Nc1n[nH]c(-c2ccc3cc(Nc4nc5ccc(Br)cc5cc4-c4nc(N)n[nH]4)ccc3c2)n1,-1,test
CC(C)N1CCN(CCO)CC1,-1,test
Cn1cc(-c2cc(S(N)(=O)=O)c(Cl)cc2F)cn1,-1,test
CC1(C2CCN(C(=O)C(N)C(O)(C(F)(F)F)C(F)(F)F)CC2)NC(=O)N(C2CCN(C(=O)C(N)C(O)(C(F)(F)F)C(F)(F)F)CC2)C1=O,-1,test
CC(=O)NC1CCN(C(C)=O)CC1,-1,test
Cn1ccc(-n2c(C(CO)CO)nc3c(Cl)cc(F)cc3c2=O)n1,-1,test
O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)Cc1ccc2nc(C[C@]3(O)Cn4c(=O)ccc5ncc(F)c3c54)ccc2c1,-1,test
O=C(O)CNc1ccc2oc(=O)oc2c1,-1,test
O=C(O)Cc1ncc(-n2cc3c(n2)CN(S(=O)(=O)c2ccc(F)cc2F)C3)s1,-1,test
Cc1nnc(-c2c(-n3cnnn3)[nH]c(=O)c3c(=O)[nH]sc23)c2nn(-c3c(-n4cnnn4)[nH]c(=O)c4c(=O)[nH]sc34)c(C)c12,-1,test
c1cnc(-c2cnccn2)cn1,-1,test
Cc1nn(CCO)c(C)c1-n1c(C)nc2cccc(-c3cccc4nc(C)n(CCO)c(=O)c34)c2c1=O,-1,test
CC(C)(O)[C@]1(O)CC[C@@H]([C@H](CC(=O)O)CN2CCOCC2)CC1,-1,test
Cc1c(Cl)c(-c2ccc3[nH]c(=O)oc3c2)nn1C(O)c1nn(C)cc1-c1ccc2[nH]c(=O)oc2c1,-1,test
C[C@@]1(C(=O)NC(=O)[C@]2(C)CCSC(N)=N2)CCSC(N)=N1,-1,test
O=C(O)c1cc(-n2ncc3c(C(=O)O)ncnc32)cc(C(=O)O)n1,-1,test
O=C1NC(=O)C(c2cccnc2)(c2ccc3nc(CO)oc3c2)N1,-1,test
CN(C)S(=O)(=O)Nc1nn(-c2nn(-c3nn(-c4nc(N)n[nH]4)c4ncnc(N)c34)c3ncnc(N)c23)c2ncnc(N)c12,-1,test
CS(=O)(=O)CC[C@H](N)CN1C[C@H](N)[C@H](N(C[C@@H](N)CCS(C)(=O)=O)C[C@@H](N)CCS(C)(=O)=O)C1,-1,test
Cc1c[nH]c2ncnc(-c3cc4c(C(=O)O)c(-c5ncnc6[nH]cc(C)c56)nnc4cc3C(=O)O)c12,-1,test
CN(C)c1cc(C[C@@]2(OC(F)F)Cn3c(=O)ccc4ncc(F)c2c43)nc(OC(F)F)c1,-1,test
CC1(C)C[C@H](C(=O)N2CCOCC2)CC[C@H]1C(N)=O,-1,test
Nc1nc2ccc(S(=O)(=O)CC3CCN(CCCC(=O)N4CCC(c5ccc6c(n5)NC(=O)CO6)CC4)CC3)cc2s1,-1,test
c1c(-c2nnc(N3CCOCC3)o2)nnn1-c1nnc(N2CCOCC2)o1,-1,test
OCC1CN(C2CN([C@H]3COC[C@H]3n3cnnn3)C2)C1,-1,test
Cc1nc2cnccc2c(=O)n1-c1cnc[nH]1,-1,test
Cn1c(-c2cn(-c3cn(C(F)(F)F)nn3)nn2)nc2[nH]nc(C(F)(F)F)c2c1=O,-1,test
CN(C)S(=O)(=O)C(F)(F)F,-1,test
N#C[C@H]1CCOC[C@@H]1N1CCNCC1,-1,test
O=C(O)c1ccc2c(N3CCN(c4nncc5cc(C[C@]6(O)Cn7c(=O)ccc8ncc(F)c6c87)ccc45)C(=O)C3)nncc2c1,-1,test
CC1(C(=O)O)COC1,-1,test
Cc1nnc(-c2cc(C(C)(C)C(=O)O)nc(C(C)(C)C(=O)O)c2)n1C(C)(C)C(=O)O,-1,test
CN(C)C(=O)c1nnc(-c2nnc(N(C)C)o2)o1,-1,test
CN1CC2(CC(c3nc(-c4cc(C(N)=O)nn4C4CC5(C4)CN(C)C5)cs3)C2)C1,-1,test
Cc1nc2ccccc2c(=O)n1-c1cnc(N)c(-c2cnc(N)c(-n3nc(-n4c(C)nc5ccccc5c4=O)c4c(N)ncnc43)c2)c1,-1,test
CN1CCc2cc(C(=O)N3CCCC3)c(N3CCCC3)cc2[C@H]1Cc1nc(N)n[nH]1,-1,test
O=c1c2c(O)cc(N3CCOCC3)cc2oc2c(N3CCOCC3)[nH]c(N3CCOCC3)c12,-1,test
CN1CCN(c2cn(C[C@@H](CO)[C@H](CO)Cc3nnc(N4CCN(C)C(=O)C4)o3)nn2)CC1=O,-1,test
O=C(c1ccc(F)cc1)c1nc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2nc1-c1ccc(F)cc1,-1,test
Cc1nc2ccccc2c(=O)n1-c1cnc(N)c(Nc2cnc(N)c(-n3c(C)nc4ccccc4c3=O)c2)c1,-1,test
N#Cc1cc(C[C@]2(O)Cn3c(=O)ccc4ncc(F)c2c43)c2oc(N3CCN(c4nc5cc(C#N)cc(C[C@]6(O)Cn7c(=O)ccc8ncc(F)c6c87)c5o4)C3=O)nc2c1,-1,test
Cn1cc(-c2cnn(C)c2)cn1,-1,test
CN=[S+](C)([O-])c1ccc(-n2nc3c(N4CCC(C(N)=O)CC4)nnc(C)c3c2C)cc1,-1,test
O=C(N1CCCCC1)N1CCn2c(nnc2-c2nnc3n2CCN(C2(O)CCCCCC2)C3)C1,-1,test
C[C@@H]1NC(c2cnccn2)=NC1(C1COC1)C1(C2([C@@H]3CC[C@](C)(N)C3(C)C)N=C(c3cnccn3)N[C@H]2C)CCC(C)(O)CC1,-1,test
c1csc(-c2noc(-c3nc(-c4noc(-c5nccs5)n4)no3)n2)n1,-1,test
CN1CCc2cc(N3CCNCC3)c(C(=O)N3CCNCC3)cc2[C@H]1Cc1nc(N)n[nH]1,-1,test
Cn1nnc(-c2nnn(C)n2)n1,-1,test
c1cn2ncc(-c3ncc(-n4cnnn4)s3)c2nc1N1CCC(n2cnnn2)CC1,-1,test
CC(C)(O)[C@H]1CC[C@](O)(C(C)(C)O)CC1,-1,test
O=C1COc2ccc(N3CC[C@@H](C(=O)N4CC[C@@H](N5CCC5)[C@@H](F)C4)[C@@H](F)C3)nc2N1,-1,test
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)N1Cc2cn([C@H]3CN(NS(C)(=O)=O)C(=O)N3C(=O)C(C)(O)CS(=O)(=O)c3ccc(F)cc3)nc2C1,-1,test
O=C(COP(=O)(O)O)N1CCN(C(=O)COP(=O)(O)O)CC1,-1,test
CN1CCN(C(=O)C[C@H]2CCN(C(=O)Cc3[nH]ncc3F)C2=O)CC1,-1,test
Cc1nn(-c2nc3ccc(-c4ccc5nc(-c6cnn(C)c6)oc5c4)cc3o2)c(C)c1N1CCNCC1,-1,test
Nc1c(-c2ccccn2)c(-c2ccccn2)nc2c(C(=O)N3CCOCC3)cnn12,-1,test
N#Cc1cc(CO)c2oc(CCC(=O)O)nc2c1,-1,test
Cc1nc(N2c3cccc4c3N(CCC4)S2(=O)=O)n2[nH]c(-n3c(=O)cnc4ccc([C@H]5[C@H](N6c7cccc8c7N(CCC8)S6(=O)=O)C[C@@H]6C[C@H](O)CC[C@]56C)cc43)nc(=O)c12,-1,test
CN(C)[C@H]1CN(c2nc(CC(=O)O)n3ccnc(N)c23)CC[C@H]1c1cnccc1S(N)(=O)=O,-1,test
CC1(c2cc3c(N4CC[C@@H](O)C4)cc(-c4c[nH]c5ccc(F)cc45)nc3cc2N2CC[C@@H](O)C2)COC1,-1,test
Cc1ncccc1C(=O)N1CCCCC1C(=O)N1CCOCC1,-1,test
O=C(OS(=O)(=O)c1cccc2cnccc12)c1nnc(C(=O)N2CC(O)C2)o1,-1,test
Nc1c(-c2ccccn2)c(C(=O)N2CCOCC2)nc2c(-c3ccccn3)cnn12,-1,test
N#Cc1cc(-c2nc3cc(C#N)cc(-c4cc(C#N)cc5nc(N6CCCCCC6)oc45)c3o2)c2oc(N3CCCCCC3)nc2c1,-1,test
Cc1nnc(-c2cc(C(C)(C)C(=O)O)cc(C(C)(C)C(=O)O)n2)n1C(C)(C)C(=O)O,-1,test
Nc1n[nH]c(-c2cc(N3CCOCC3)cc(-c3n[nH]c(N)n3)n2)n1,-1,test
Nc1nc(-c2nc3c(C4SC(=O)NC4=O)nc(N)nc3s2)c2nc(-c3cc4cc(Br)ccc4nc3C3SC(=O)NC3=O)sc2n1,-1,test
Cn1nc(C2(C)NC(=O)N([C@H]3OC[C@H]3N)C2=O)nc1C1(C)NC(=O)N([C@H]2OC[C@H]2N)C1=O,-1,test
Cc1ncccc1C(C)CC#N,-1,test
O=C1COc2ccc(-c3ccc4nc(-c5ccc6cc(-c7ccc8cc(C[C@]9(O)Cn%10c(=O)ccc%11ncc(F)c9c%11%10)ccc8n7)ccc6n5)ccc4c3)nc2N1,-1,test
CC1(C)C[C@H](CO)CC[C@H]1C(=O)O,-1,test
Cc1ncc(-n2c(CC(=O)O)cnc2C)n1CC(=O)O,-1,test
O=C(O)Cc1cc(N2CCOCC2)cc(CC(=O)O)n1,-1,test
C[C@H]1COc2c(C(=O)N3c4cccc5c4N(CCC5)S3(=O)=O)c(F)c(N)c3c2[C@@H]1C=C(C(=O)[O-])C3=O,-1,test
[2H]C([2H])([2H])Oc1cc(C(=O)N2CCC[C@@H](N)C2)cc(CC(=O)O)n1,-1,test
O=C1CN(S(=O)(=O)c2ccc(C[C@]3(O)Cn4c(=O)ccc5ncc(F)c3c54)cc2)CCN1c1ccc(S(=O)(=O)N2CCCCC2)cc1,-1,test
c1c(-c2nnn[nH]2)cc(N2CCN(c3nnn[nH]3)CC2)nc1-c1nnn[nH]1,-1,test
NC(=O)[C@H]1COC[C@H]1c1cc(C(F)(F)F)cc(C(F)(F)F)n1,-1,test
O=C(NO)c1ccn2ncc(-c3ccn4ncc(N5CCN(c6ccccc6)CC5)c4n3)c2n1,-1,test
CC(=O)c1cnc(N)c(-c2cc(N3CC[C@@H](C(C)=O)C3)cnc2N)c1,-1,test
O=C(NO)c1nc2ccc(Br)cc2cc1-c1cc2cc(Br)ccc2nc1-c1ncc(F)cn1,-1,test
C[C@]12CCC(=O)C[C@H]1C[C@@H](c1nc3ccc(Br)cc3cc1CS(C)(=O)=O)[C@@H]2c1nc2ccc(Br)cc2cc1CS(C)(=O)=O,-1,test
CN=[S+](C)([O-])c1ccc(Nc2nnc3ccc(OC)nn23)cc1,-1,test
Cc1nnc([C@H](CC(=O)O)CN2CCN(c3ccc(S(N)(=O)=O)cc3)C(=O)C2)n1-c1ccc(S(N)(=O)=O)cc1,-1,test
O=C1COc2ccc([C@@H]3CCN(C(=O)[C@@H]4CCN(c5ccc6c(n5)NC(=O)CO6)C[C@@H]4F)C[C@@H]3F)nc2N1,-1,test
CC(C)c1cnn(C)c1S(N)(=O)=O,-1,test
N[C@@H]1CCCN(c2ncc(-c3ncc(N4CCOCC4)s3)s2)C1,-1,test
CS(=O)(=O)NN1CC(N2CCOCC2)N(C(=O)C2CN(NS(C)(=O)=O)C(=O)N2c2cc(=O)c3c(O)cc(O)cc3o2)C1=O,-1,test
Nc1nc2c(-c3ccc4[nH]c(=O)oc4c3)cccc2c2nc(-c3nc4c5cccc(-c6cccc7c6nc(N)n6nc(-c8ccc9[nH]c(=O)oc9c8)nc76)c5nc(N)n4n3)nn12,-1,test
O=C(c1ccc(F)cc1)N1CCN(c2nnc(-c3ccc(F)cc3)o2)C1=O,-1,test
