smiles,ESOL_top20_6_brics_mol,group
Clc1ccc(Cl)c(-c2ccc(-c3ccc(-c4ccc(-c5cccc(Cl)c5Cl)c(Cl)c4)cc3Cl)c(Cl)c2)c1,-1,test
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(c3c(-c4cc(Cl)ccc4Cl)c(-c4cc(Cl)ccc4Cl)cc4c(N)nc(-c5cc(Cl)ccc5Cl)nc34)CCC12,-1,test
C#CC1(OP(=S)(Oc2cc(Cl)c(Cl)cc2Cl)N2C(=O)c3ccccc3C2=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-1,test
CC12C=CC(=O)C=C1CCC1C3CC(c4cc(Cl)c(Cl)cc4Cl)C(O)(c4c([N+](=O)[O-])cc(-c5c([N+](=O)[O-])cc(-c6cc(Cl)c(Cl)cc6Cl)cc5[N+](=O)[O-])cc4[N+](=O)[O-])C3(C)CC(O)C12F,-1,test
O=[N+]([O-])c1cc(-c2cc(Cl)c(Br)cc2Cl)cc([N+](=O)[O-])c1-c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3cc(Cl)c(Br)cc3Cl)c([N+](=O)[O-])c2)c([N+](=O)[O-])c1,-1,test
N#CC(=NOP(=S)(Oc1cccc(Cl)c1Cl)Oc1c([N+](=O)[O-])cc(-c2c([N+](=O)[O-])cc(-c3cccc(Cl)c3Cl)cc2[N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1,-1,test
Nc1nc(-c2nc(Cl)c(Cl)cc2Cl)nc2c(-c3nc(Cl)c(Cl)cc3Cl)c(-c3cc(Cl)c(Cl)cc3Cl)c(-c3nc(Cl)c(Cl)cc3Cl)cc12,-1,test
CC1C=C2C=CC(C)C(c3c([N+](=O)[O-])cc(-c4cccc5ccccc45)cc3[N+](=O)[O-])C2C(c2cc([N+](=O)[O-])c(-c3ccc(Cl)c(Cl)c3)c([N+](=O)[O-])c2)C1,-1,test
Cc1cc(=O)c2c(-c3c4ccoc4c(N4c5ccccc5N(C)C(=O)c5cccnc54)c4oc(C)cc(=O)c34)c3ccoc3c(C3CCC4C5CCC6=CC(=O)CCC6(C)C5CCC34C)c2o1,-1,test
Clc1nc(-c2ccc3ccccc3c2)nc(-c2nc(Cl)nc(-c3nc(Cl)nc(C4CCCCC4)n3)n2)n1,-1,test
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2N1c2nc(-c3ccc([N+](=O)[O-])cc3Cl)ccc2NC(=O)c2cccnc21,-1,test
O=C1C(O)=C(C2CCC(c3nc(C4CCC(C5=C(O)C(=O)c6ccccc6C5=O)CC4)nc(C4CCC(C5=C(O)C(=O)c6ccccc6C5=O)CC4)n3)CC2)C(=O)c2ccccc21,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)c1cc([N+](=O)[O-])c(-c2cc([N+](=O)[O-])c(-c3cc([N+](=O)[O-])c(C4(C)CCC5C6CCC7=CC(=O)CCC7(C)C6CCC54C)c([N+](=O)[O-])c3)c([N+](=O)[O-])c2)c([N+](=O)[O-])c1,-1,test
O=[N+]([O-])c1cc(-c2ccc(Cl)c(Cl)c2)cc([N+](=O)[O-])c1-c1nc(-c2ccc(Cl)c(Cl)c2)nc(C2CC3CC2C2CCCC32)n1,-1,test
Cc1cc(=O)c2c(-c3ccc(Cl)cc3)c3ccoc3c(-c3c4ccoc4c(-c4c5occc5c(-c5ccc(Cl)cc5Cl)c5c(=O)cc(C)oc45)c4oc(C)cc(=O)c34)c2o1,-1,test
CC12C=CC(=O)C=C1CCC1C3CC(c4cc([N+](=O)[O-])c(C5CCCCC5)c([N+](=O)[O-])c4)C(O)(c4cc([N+](=O)[O-])c(C5CCCCC5)c([N+](=O)[O-])c4)C3(C)CC(O)C12F,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)c1nc(-c2cc([N+](=O)[O-])c(C3(O)CCC4C5CCC6=CC(=O)CCC6(C)C5CCC43C)c([N+](=O)[O-])c2)nc(-c2cc(Cl)c(Cl)cc2Cl)n1,-1,test
C#CC1(N2c3nc(-c4ccc5c(n4)N(c4ccc(Cl)cc4Cl)c4ncccc4C(=O)N5)ccc3NC(=O)c3cccnc32)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-1,test
Cc1cc(-c2cc(C)c3c(c2)N(C2(O)CCC4C5CCC6=CC(=O)CCC6(C)C5C(O)CC42C)c2ncccc2C(=O)N3)cc2c1NC(=O)c1cccnc1N2c1cc(C)c2c(c1)N(C1(O)CCC3C4CCC5=CC(=O)CCC5(C)C4C(O)CC31C)c1ncccc1C(=O)N2,-1,test
Cc1cc(C)c2c(n1)N(c1nc(N)c3cc(N4c5ncccc5C(=O)Nc5c(C)cc(C)nc54)c(N4c5ncccc5C(=O)Nc5c(C)cc(C)nc54)c(-c4c(Cl)c(Cl)c(Cl)c(Cl)c4Cl)c3n1)c1ncccc1C(=O)N2,-1,test
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)c1ccc(Cl)cc1,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cc6c(cc5C5(O)C(O)CC7C8CCC9=CC(=O)C=CC9(C)C8(F)C(O)CC75C)OCC5Oc7c(ccc8c7CC(C(=C)C)O8)C(=O)C65)c(-c5cc6c(cc5C5(O)C(O)CC7C8CCC9=CC(=O)C=CC9(C)C8(F)C(O)CC75C)C5C(=O)c7ccc8c(c7OC5CO6)CC(C(=C)C)O8)cc4C2C3=O)O1,-1,test
N#CC(=NOP(=S)(Oc1cccc(Cl)c1Cl)Oc1cccc(Cl)c1Cl)c1ccccc1,-1,test
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(c3nc(N)c4cc(-c5cc(Cl)ccc5Cl)c(-c5cc(Cl)ccc5Cl)c(-c5cc(Cl)ccc5Cl)c4n3)CCC12,-1,test
O=C1c2ccccc2C(=O)N1P(=S)(Oc1ccc(Cl)c(Cl)c1)Oc1ccc(Cl)c(Cl)c1Cl,-1,test
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(c3cc([N+](=O)[O-])c(-c4cc([N+](=O)[O-])c(-c5cc([N+](=O)[O-])c(C6CCC7C8CCC9=CC(=O)CCC9(C)C8C(O)CC67C=O)c([N+](=O)[O-])c5)c([N+](=O)[O-])c4)c([N+](=O)[O-])c3)CCC12,-1,test
Cc1cc(-c2ccc(Cl)c(Cl)c2)c2c(n1)N(c1cc(C)nc3c1NC(=O)c1cccnc1N3c1cc(C)nc3c1NC(=O)c1cccnc1N3c1ccc(Cl)c(Cl)c1)c1ncccc1C(=O)N2,-1,test
O=C1Nc2ccc(Cl)cc2N(c2cc([N+](=O)[O-])c(N3c4cc(Cl)ccc4NC(=O)c4cccnc43)c([N+](=O)[O-])c2)c2ncccc21,-1,test
CC12CCC(c3cc([N+](=O)[O-])c(-c4c([N+](=O)[O-])cc(-c5c([N+](=O)[O-])cc(NC6=C(Cl)C(=O)c7ccccc7C6=O)c(N)c5[N+](=O)[O-])c(N)c4[N+](=O)[O-])c([N+](=O)[O-])c3N)CC1CCC1C2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O,-1,test
Cc1cc(=O)c2c(-c3cccc4ccccc34)c3ccoc3c(-c3cccc4ccccc34)c2o1,-1,test
Cc1cc(C2CCC3C4CCC5=CC(=O)CCC5(C)C4C(O)CC23C=O)c2c(n1)N(c1cc(C)nc3c1NC(=O)c1cccnc1N3c1c(Cl)c(Cl)cc(Cl)c1Cl)c1ncccc1C(=O)N2,-1,test
CCCCCCCCC(=O)N1c2nc(N3c4nc(N5c6nc(-c7cc(Cl)ccc7Cl)ccc6NC(=O)c6cccnc65)ccc4NC(=O)c4cccnc43)ccc2NC(=O)c2cccnc21,-1,test
O=C1Nc2ccc(Cl)cc2N(c2cc([N+](=O)[O-])c(-c3ccc(Cl)c(Cl)c3Cl)c([N+](=O)[O-])c2)c2ncccc21,-1,test
Cc1cc(C)c2c(n1)N(c1nc(-c3ccc(Cl)c(Cl)c3Cl)nc(-c3cc(Cl)c(Cl)c(Cl)c3Cl)n1)c1ncccc1C(=O)N2,-1,test
CCCCCCCCCCCC(=O)N1c2ncccc2C(=O)Nc2c(N3c4ncccc4C(=O)Nc4c(-c5cc(C)nc6c5NC(=O)c5cccnc5N6C5(O)CCC6C7CCC8=CC(=O)C=CC8(C)C7C(O)CC65C)cc(C)nc43)cc(C)nc21,-1,test
Clc1ccc(-c2cccc(Cl)c2)cc1,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)c1c([N+](=O)[O-])cc(-c2nc(-c3cc(Cl)c(Cl)c(Cl)c3Cl)nc(-c3cc(Cl)c(Cl)c(Cl)c3Cl)n2)c(N)c1[N+](=O)[O-],-1,test
O=C1Nc2ccc(-c3ccc(Cl)c(Cl)c3Cl)nc2N(c2ccc3c(n2)N(c2ccc4c(n2)N(c2ccc(Cl)c(Cl)c2Cl)c2ncccc2C(=O)N4)c2ncccc2C(=O)N3)c2ncccc21,-1,test
Nc1nc(-c2c(Cl)cccc2Cl)nc2c(-c3cc(Cl)ccc3Cl)c(-c3cc(Cl)ccc3Cl)c(-c3cc(Cl)ccc3Cl)cc12,-1,test
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)c1cc(Cl)nc(N(C=O)NS(=O)(=O)c2ccccc2-c2cc(Cl)nc(N(C=O)NS(=O)(=O)c3ccccc3-c3cc(Cl)nc(N(C=O)NS(=O)(=O)c4ccccc4-c4ccc(Cl)c(Cl)c4Cl)n3)n2)n1,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cc6c(cc5C5(O)C(O)CC7C8CCC9=CC(=O)C=CC9(C)C8(F)C(O)CC75C)C5C(=O)c7ccc8c(c7OC5CO6)CC(C(=C)C)O8)c(C5(O)C(O)CC6C7CCC8=CC(=O)C=CC8(C)C7(F)C(O)CC65C)cc4C2C3=O)O1,-1,test
O=C1C(Cl)=C(Nc2ccc(Cl)c(Cl)c2Cl)C(=O)c2ccccc21,-1,test
Cc1ccc(-c2nc(N)c3cc(-c4ccc(C)c(Cl)c4)c(-c4cccc(Cl)c4)c(-c4cccc(Cl)c4)c3n2)cc1Cl,-1,test
O=C1C(O)=C(C2CCC(c3nc(-c4ccc(Cl)c(Cl)c4Cl)nc(C4CCC(C5=C(O)C(=O)c6ccccc6C5=O)CC4)n3)CC2)C(=O)c2ccccc21,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cc6c(cc5-c5cccc7ccccc57)C5C(=O)c7ccc8c(c7OC5CO6)CC(C(=C)C)O8)c(-c5cc6c(cc5-c5cccc7ccccc57)C5C(=O)c7ccc8c(c7OC5CO6)CC(C(=C)C)O8)cc4C2C3=O)O1,-1,test
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)c1nc(C2CCC(C3=C(O)C(=O)c4ccccc4C3=O)CC2)nc(N2c3cc(Cl)ccc3NC(=O)c3cccnc32)n1,-1,test
Cc1ccc(-c2cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc(-c4cc([N+](=O)[O-])c(-c5ccc(C)c(Cl)c5)c([N+](=O)[O-])c4)cc3[N+](=O)[O-])c([N+](=O)[O-])c2)cc1Cl,-1,test
CC12CCC(=O)C=C1CC(c1c([N+](=O)[O-])cc(-c3c([N+](=O)[O-])cc(-c4cc([N+](=O)[O-])c(-c5ccc(Br)c(Cl)c5)c([N+](=O)[O-])c4N)c(N)c3[N+](=O)[O-])c(N)c1[N+](=O)[O-])C1C2CCC2(C)C1CCC21CCC(=O)O1,-1,test
O=c1ccc2cc3ccoc3c(-c3ccc(-c4c5occc5cc5ccc(=O)oc45)c(Cl)c3)c2o1,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(-c5cc6c(cc5-c5ccc([N+](=O)[O-])cc5Cl)C5C(=O)c7ccc8c(c7OC5CO6)CC(C(=C)C)O8)c(-c5ccc([N+](=O)[O-])cc5Cl)cc4C2C3=O)O1,-1,test
O=C1Nc2ccc(-c3ccc([N+](=O)[O-])cc3Cl)nc2N(c2ccc([N+](=O)[O-])cc2Cl)c2ncccc21,-1,test
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OP(=S)(ON=C(C#N)c5ccccc5)Oc5c(Cl)c(Cl)cc(Cl)c5Cl)c(-c5c(Cl)c(Cl)cc(Cl)c5Cl)cc4C2C3=O)O1,-1,test
O=[N+]([O-])c1cc(-c2cc([N+](=O)[O-])c(-c3ccc4ccccc4c3)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1-c1cc([N+](=O)[O-])c(-c2ccc(Cl)c(Cl)c2Cl)c([N+](=O)[O-])c1,-1,test
O=C1C(O)=C(C2CCC(c3nc(-c4ccc(Cl)c(Cl)c4Cl)nc(N4c5cc(Cl)ccc5NC(=O)c5cccnc54)n3)CC2)C(=O)c2ccccc21,-1,test
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)c1nc(-c2c([N+](=O)[O-])cc(-c3cc(Cl)c(Cl)cc3Cl)cc2[N+](=O)[O-])nc(C2(O)CCC3C4CCC5=CC(=O)CCC5(C)C4CCC32C)n1,-1,test
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)c1ccccc1S(=O)(=O)NN(C=O)c1nc(Cl)cc(N2c3ccccc3N(C)C(=O)c3cccnc32)n1,-1,test
Cc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc2c1NC(=O)c1cccnc1N2c1cc(C)c2c(c1)N(c1cc(C)c3c(c1)N(c1cc(Cl)c(Cl)c(Cl)c1Cl)c1ncccc1C(=O)N3)c1ncccc1C(=O)N2,-1,test
CN1C(=O)c2ccccc2N(c2cc([N+](=O)[O-])c(-c3c(Cl)c(Cl)cc(Cl)c3Cl)c([N+](=O)[O-])c2)c2ccccc21,-1,test
Cc1cc(-c2ccc(Cl)cc2Cl)c2c(n1)N(C1(O)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC31C)c1ncccc1C(=O)N2,-1,test
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(OP(=S)(Oc3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)N3C(=O)c4ccccc4C3=O)CCC12,-1,test
Cc1cc(-c2cc(Cl)c(Cl)cc2Cl)c2c(n1)N(C1(O)CCC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC31C)c1ncccc1C(=O)N2,-1,test
Cc1cc(-c2cc(C)c3c(c2)N(c2c(Cl)c(Cl)cc(Cl)c2Cl)c2ncccc2C(=O)N3)cc2c1NC(=O)c1cccnc1N2c1cc(C)c2c(c1)N(c1c(Cl)c(Cl)cc(Cl)c1Cl)c1ncccc1C(=O)N2,-1,test
O=[N+]([O-])c1cc(-c2ccc(Cl)c(Cl)c2)cc([N+](=O)[O-])c1-c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(-c3cc(Cl)c(Cl)c(Cl)c3Cl)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,-1,test
Cc1cc(=O)c2c(-c3c4occc4c(N4c5ccccc5N(C)C(=O)c5cccnc54)c4c(=O)cc(C)oc34)c3ccoc3c(-c3c4ccoc4c(C4CCC5C6CCC7=CC(=O)CCC7(C)C6CCC45C)c4oc(C)cc(=O)c34)c2o1,-1,test
